gbd_cause_id_3_ml,gbd_indication_name_3,canonical_model_ta,canonical_model_ta_code,sort_order,observed_rows_total,observed_tas,observed_rows_by_ta
298,HIV/AIDS,Infections,INFECTIONS,4,288,INFECTIONS|NEUROLOGY,"{""INFECTIONS"": 287, ""NEUROLOGY"": 1}"
393,Sexually transmitted infections excluding HIV,Infections,INFECTIONS,9,102,INFECTIONS|REPRODUCTIVE,"{""INFECTIONS"": 95, ""REPRODUCTIVE"": 7}"
297,Tuberculosis,Infections,INFECTIONS,17,57,INFECTIONS,"{""INFECTIONS"": 57}"
322,Lower respiratory infections,Infections,INFECTIONS,22,480,INFECTIONS|RESPIRATORY,"{""INFECTIONS"": 392, ""RESPIRATORY"": 88}"
328,Upper respiratory infections,Infections,INFECTIONS,23,534,DERMATOLOGY|EAR/NOSE/THROAT|INFECTIONS|RESPIRATORY,"{""DERMATOLOGY"": 1, ""EAR/NOSE/THROAT"": 4, ""INFECTIONS"": 411, ""RESPIRATORY"": 118}"
329,Otitis media,Infections,INFECTIONS,24,37,EAR/NOSE/THROAT|INFECTIONS,"{""EAR/NOSE/THROAT"": 33, ""INFECTIONS"": 4}"
1048,COVID-19,Infections,INFECTIONS,25,694,INFECTIONS|NEUROLOGY|RESPIRATORY|UNCLASSIFIED,"{""INFECTIONS"": 684, ""NEUROLOGY"": 2, ""RESPIRATORY"": 7, ""UNCLASSIFIED"": 1}"
302,Diarrheal diseases,Infections,INFECTIONS,27,82,GASTROINTESTINAL|INFECTIONS,"{""GASTROINTESTINAL"": 22, ""INFECTIONS"": 60}"
958,Typhoid and paratyphoid,Infections,INFECTIONS,28,9,INFECTIONS,"{""INFECTIONS"": 9}"
959,Invasive Non-typhoidal Salmonella (iNTS),Infections,INFECTIONS,31,3,INFECTIONS,"{""INFECTIONS"": 3}"
321,Other intestinal infectious diseases,Infections,INFECTIONS,32,91,GASTROINTESTINAL|INFECTIONS,"{""GASTROINTESTINAL"": 45, ""INFECTIONS"": 46}"
345,Malaria,Infections,INFECTIONS,34,62,INFECTIONS,"{""INFECTIONS"": 62}"
346,Chagas disease,Infections,INFECTIONS,35,5,INFECTIONS,"{""INFECTIONS"": 5}"
347,Leishmaniasis,Infections,INFECTIONS,36,2,INFECTIONS,"{""INFECTIONS"": 2}"
350,African trypanosomiasis,Infections,INFECTIONS,39,0,,{}
351,Schistosomiasis,Infections,INFECTIONS,40,3,INFECTIONS,"{""INFECTIONS"": 3}"
352,Cysticercosis,Infections,INFECTIONS,41,0,,{}
353,Cystic echinococcosis,Infections,INFECTIONS,42,0,,{}
354,Lymphatic filariasis,Infections,INFECTIONS,43,0,,{}
355,Onchocerciasis,Infections,INFECTIONS,44,2,INFECTIONS,"{""INFECTIONS"": 2}"
356,Trachoma,Infections,INFECTIONS,45,0,,{}
357,Dengue,Infections,INFECTIONS,46,59,INFECTIONS,"{""INFECTIONS"": 59}"
358,Yellow fever,Infections,INFECTIONS,47,6,INFECTIONS,"{""INFECTIONS"": 6}"
359,Rabies,Infections,INFECTIONS,48,35,INFECTIONS,"{""INFECTIONS"": 35}"
360,Intestinal nematode infections,Infections,INFECTIONS,49,4,INFECTIONS,"{""INFECTIONS"": 4}"
364,Food-borne trematodiases,Infections,INFECTIONS,53,0,,{}
405,Leprosy,Infections,INFECTIONS,54,1,INFECTIONS,"{""INFECTIONS"": 1}"
843,Ebola,Infections,INFECTIONS,55,15,INFECTIONS,"{""INFECTIONS"": 15}"
935,Zika virus,Infections,INFECTIONS,56,2,INFECTIONS,"{""INFECTIONS"": 2}"
936,Guinea worm disease,Infections,INFECTIONS,57,0,,{}
365,Other neglected tropical diseases,Infections,INFECTIONS,58,29,DERMATOLOGY|INFECTIONS,"{""DERMATOLOGY"": 3, ""INFECTIONS"": 26}"
332,Meningitis,Infections,INFECTIONS,60,156,INFECTIONS,"{""INFECTIONS"": 156}"
337,Encephalitis,Infections,INFECTIONS,61,9,INFECTIONS|NEUROLOGY,"{""INFECTIONS"": 7, ""NEUROLOGY"": 2}"
338,Diphtheria,Infections,INFECTIONS,62,13,INFECTIONS,"{""INFECTIONS"": 13}"
339,Pertussis,Infections,INFECTIONS,63,39,INFECTIONS,"{""INFECTIONS"": 39}"
340,Tetanus,Infections,INFECTIONS,64,11,INFECTIONS,"{""INFECTIONS"": 11}"
341,Measles,Infections,INFECTIONS,65,21,INFECTIONS,"{""INFECTIONS"": 21}"
342,Varicella and herpes zoster,Infections,INFECTIONS,66,96,INFECTIONS|NEUROLOGY,"{""INFECTIONS"": 95, ""NEUROLOGY"": 1}"
400,Acute hepatitis,Infections,INFECTIONS,67,39,GASTROINTESTINAL|INFECTIONS,"{""GASTROINTESTINAL"": 1, ""INFECTIONS"": 38}"
408,Other unspecified infectious diseases,Infections,INFECTIONS,72,411,CARDIOVASCULAR|DERMATOLOGY|GASTROINTESTINAL|HEMATOLOGY|IMMUNOLOGY|INFECTIONS|ONCOLOGY|RENAL/UROLOGY|REPRODUCTIVE|RESPIRATORY|UNCLASSIFIED,"{""CARDIOVASCULAR"": 1, ""DERMATOLOGY"": 1, ""GASTROINTESTINAL"": 1, ""HEMATOLOGY"": 2, ""IMMUNOLOGY"": 2, ""INFECTIONS"": 383, ""ONCOLOGY"": 3, ""RENAL/UROLOGY"": 1, ""REPRODUCTIVE"": 1, ""RESPIRATORY"": 5, ""UNCLASSIFIED"": 11}"
366,Maternal disorders,Reproductive,REPRODUCTIVE,74,31,GASTROINTESTINAL|REPRODUCTIVE,"{""GASTROINTESTINAL"": 1, ""REPRODUCTIVE"": 30}"
380,Neonatal disorders,Reproductive,REPRODUCTIVE,85,35,GASTROINTESTINAL|HEMATOLOGY|INFECTIONS|METABOLIC|NEUROLOGY|OPHTHALMOLOGY|REPRODUCTIVE|RESPIRATORY|UNCLASSIFIED,"{""GASTROINTESTINAL"": 3, ""HEMATOLOGY"": 1, ""INFECTIONS"": 3, ""METABOLIC"": 1, ""NEUROLOGY"": 4, ""OPHTHALMOLOGY"": 1, ""REPRODUCTIVE"": 9, ""RESPIRATORY"": 10, ""UNCLASSIFIED"": 3}"
387,Protein-energy malnutrition,Metabolic,METABOLIC,92,7,GASTROINTESTINAL,"{""GASTROINTESTINAL"": 7}"
388,Iodine deficiency,Metabolic,METABOLIC,93,0,,{}
389,Vitamin A deficiency,Metabolic,METABOLIC,94,0,,{}
390,Dietary iron deficiency,Metabolic,METABOLIC,95,27,GASTROINTESTINAL|HEMATOLOGY|METABOLIC|MUSCULOSKELETAL|RENAL/UROLOGY,"{""GASTROINTESTINAL"": 3, ""HEMATOLOGY"": 18, ""METABOLIC"": 3, ""MUSCULOSKELETAL"": 1, ""RENAL/UROLOGY"": 2}"
391,Other nutritional deficiencies,Metabolic,METABOLIC,96,8,GASTROINTESTINAL|GENETIC|METABOLIC,"{""GASTROINTESTINAL"": 1, ""GENETIC"": 1, ""METABOLIC"": 6}"
444,Lip and oral cavity cancer,Oncology,ONCOLOGY,99,42,ONCOLOGY,"{""ONCOLOGY"": 42}"
447,Nasopharynx cancer,Oncology,ONCOLOGY,100,28,ONCOLOGY,"{""ONCOLOGY"": 28}"
450,Other pharynx cancer,Oncology,ONCOLOGY,101,87,ONCOLOGY,"{""ONCOLOGY"": 87}"
411,Esophageal cancer,Oncology,ONCOLOGY,102,65,ONCOLOGY,"{""ONCOLOGY"": 65}"
414,Stomach cancer,Oncology,ONCOLOGY,103,201,GASTROINTESTINAL|ONCOLOGY,"{""GASTROINTESTINAL"": 3, ""ONCOLOGY"": 198}"
441,Colon and rectum cancer,Oncology,ONCOLOGY,104,354,GASTROINTESTINAL|ONCOLOGY,"{""GASTROINTESTINAL"": 9, ""ONCOLOGY"": 345}"
417,Liver cancer,Oncology,ONCOLOGY,105,275,GASTROINTESTINAL|ONCOLOGY,"{""GASTROINTESTINAL"": 1, ""ONCOLOGY"": 274}"
453,Gallbladder and biliary tract cancer,Oncology,ONCOLOGY,112,65,ONCOLOGY,"{""ONCOLOGY"": 65}"
456,Pancreatic cancer,Oncology,ONCOLOGY,113,245,ONCOLOGY,"{""ONCOLOGY"": 245}"
423,Larynx cancer,Oncology,ONCOLOGY,114,0,,{}
426,"Tracheal, bronchus, and lung cancer",Oncology,ONCOLOGY,115,1245,ONCOLOGY,"{""ONCOLOGY"": 1245}"
459,Malignant skin melanoma,Oncology,ONCOLOGY,116,256,ONCOLOGY,"{""ONCOLOGY"": 256}"
462,Non-melanoma skin cancer,Oncology,ONCOLOGY,117,131,DERMATOLOGY|ONCOLOGY,"{""DERMATOLOGY"": 89, ""ONCOLOGY"": 42}"
1011,Soft tissue and other extraosseous sarcomas,Oncology,ONCOLOGY,120,82,ONCOLOGY,"{""ONCOLOGY"": 82}"
1012,Malignant neoplasm of bone and articular cartilage,Oncology,ONCOLOGY,121,18,ONCOLOGY,"{""ONCOLOGY"": 18}"
429,Breast cancer,Oncology,ONCOLOGY,122,761,ONCOLOGY,"{""ONCOLOGY"": 761}"
432,Cervical cancer,Oncology,ONCOLOGY,123,115,INFECTIONS|ONCOLOGY,"{""INFECTIONS"": 6, ""ONCOLOGY"": 109}"
435,Uterine cancer,Oncology,ONCOLOGY,124,59,ONCOLOGY,"{""ONCOLOGY"": 59}"
465,Ovarian cancer,Oncology,ONCOLOGY,125,261,ONCOLOGY,"{""ONCOLOGY"": 261}"
