FULL DATASET AUDIT: 59888 Rows, 147 Columns
================================================================================
COLUMN NAME                         | TYPE       | MISSING %  | UNIQUE   | EXAMPLE / STATS
--------------------------------------------------------------------------------
nct_id                              | object     | 0.0      % | 59888    | Top: NCT00000299 
start_date_type                     | object     | 61.8     % | 2        | Top: ACTUAL 
start_date                          | object     | 0.0      % | 3711     | Top: 2008-01-31 
study_type                          | object     | 0.0      % | 1        | Top: INTERVENTIONAL [CONSTANT]
overall_status                      | object     | 0.0      % | 4        | Top: COMPLETED 
phase                               | object     | 15.8     % | 4        | Top: PHASE2 
number_of_arms                      | float64    | 5.4      % | 27       | Mean: 2.24 | Max: 30.0 
why_stopped                         | object     | 83.3     % | 7650     | Top: Slow accrual 
has_dmc                             | int64      | 0.0      % | 2        | Binary: {0: 34597, 1: 25291} 
is_fda_regulated_drug               | int64      | 0.0      % | 2        | Binary: {0: 51976, 1: 7912} 
start_year                          | float64    | 0.0      % | 14       | Mean: 2011.53 | Max: 2018.0 
target                              | int64      | 0.0      % | 2        | Binary: {0: 48108, 1: 11780} 
phase_ordinal                       | int64      | 0.0      % | 2        | Binary: {2: 40268, 3: 19620} 
covid_exposure                      | int64      | 0.0      % | 1        | Binary: {0: 59888} [CONSTANT]
includes_us                         | int64      | 0.0      % | 2        | Binary: {1: 31522, 0: 28366} 
allocation                          | object     | 23.1     % | 2        | Top: RANDOMIZED 
intervention_model                  | object     | 0.7      % | 5        | Top: PARALLEL 
primary_purpose                     | object     | 1.3      % | 10       | Top: TREATMENT 
masking                             | object     | 0.4      % | 5        | Top: NONE 
num_primary_endpoints               | float64    | 0.0      % | 68       | Mean: 1.69 | Max: 98.0 
lead_sponsor                        | object     | 0.0      % | 8516     | Top: GlaxoSmithKline 
agency_class                        | object     | 0.0      % | 8        | Top: OTHER 
sponsor_clean                       | object     | 0.0      % | 8358     | Top: Novartis 
sponsor_tier                        | object     | 0.0      % | 2        | Top: TIER_2_OTHER 
gender                              | object     | 0.0      % | 4        | Top: ALL 
healthy_volunteers                  | object     | 0.0      % | 2        | Top: no 
criteria_len_log                    | float64    | 0.0      % | 7831     | Mean: 7.25 | Max: 9.806921584559795 
child                               | int64      | 0.0      % | 2        | Binary: {0: 49926, 1: 9962} 
adult                               | int64      | 0.0      % | 2        | Binary: {1: 55669, 0: 4219} 
older_adult                         | int64      | 0.0      % | 2        | Binary: {1: 43459, 0: 16429} 
best_pathology                      | object     | 12.7     % | 1073     | Top: Neoplasms by Site 
therapeutic_area                    | object     | 12.7     % | 23       | Top: Oncology 
tree_number                         | object     | 12.9     % | 992      | Top: C04.588 
therapeutic_subgroup_name           | object     | 0.0      % | 1074     | Top: Unclassified Condition 
